States can receive a maximum of 100 points                                          ,Label,Law Match
,,
"CRIME GUNS EXPORTED PER 100,000 RESIDENTS",,
0 to 1.2,,
1.3 to 2.4,,
2.5 to 3.6,,
3.7 to 4.8,,
4.9 to 6.0,,
6.1 to 7.2,,
7.3 to 8.4,,
8.5 to 9.6,,
9.7 to 10.8,,
10.9 to 12.0,,
12.1 to 13.2,,
13.3 to 14.4,,
14.5 to 15.6,,
15.7 to 16.8,,
16.9 to 18.0,,
18.1 to 19.2,,
19.3 to 20.4,,
20.5 to 21.6,,
21.7 to 22.8,,
22.9 to 24.0,,
More than 24.0,,
category total,,
,,
,,
STATE TOTAL SCORES,,
,,
DATA SOURCES,,
"State Firearm Death Rates, Ranked by Rate, 2013. A Violence Policy Center analysis of Centers for Disease Control and Prevention data. Less than 1.0 gun deaths per 100,000 persons",,
"Trace the Guns: The Link Between Gun Laws and Interstate Gun Trafficking. Mayors Against Illegal Guns, September, 2010. (Crime guns exported per 100,000 residents.)",,
Research on state gun laws from the Law Center to Prevent Gun Violence was the primary source used to determine the points allocated to states in this analysis. Visit: www.smartgunlaws.org.,,
