gender,raceethnicity,state,classification,lawenforcementagency,armed
Male,White,ID,Gunshot,Rexburg Police Department,Firearm
Male,Hispanic/Latino,CO,Gunshot,Pueblo Police Department,Firearm
Male,Unknown,NJ,Gunshot,Winslow Police Department,Firearm
Non-conforming,Hispanic/Latino,CO,Gunshot,Denver Police Department,No
Male,Hispanic/Latino,CA,Gunshot,Kern County Sheriff's Office,Knife
Male,Black,CA,Death in custody,San Francisco Sheriff's Department,No
Male,White,MN,Gunshot,New Hope Police Department,Firearm
Male,Native American,AZ,Gunshot,Phoenix Police Department,Vehicle
Male,White,AZ,Gunshot,Clifton Police Department and Greenlee County Sheriff's Office,Firearm
Male,Black,OH,Gunshot,"Columbus Division of Police, Ohio State Highway Patrol",Firearm
Male,White,TX,Gunshot,Rosenberg Police Department,Firearm
Male,Native American,AK,Death in custody,Anchorage Department of Corrections,No
Male,Asian/Pacific Islander,CA,Gunshot,Stockton Police Department,Other
Male,White,TX,Gunshot,Wise County Sheriff's Department and Texas DPS,Firearm
Male,White,TX,Gunshot,Fort Worth Police Department,Firearm
Male,White,OK,Gunshot,Stillwater Police Department,No
Female,White,NE,Gunshot,Omaha Police Department,Knife
Male,White,MT,Gunshot,Billings Police Department,Firearm
Male,Hispanic/Latino,TX,Gunshot,Houston County Sheriff's Department,Firearm
Male,Black,MD,Gunshot,Baltimore County Police Department,Knife
Male,Asian/Pacific Islander,TX,Gunshot,Harris County Attorney's Department,Firearm
Male,White,CA,Gunshot,San Bernardino County Sheriff's Department,Firearm
Male,White,PA,Gunshot,Hummelstown Police Department,No
Male,White,OK,Gunshot,Oklahoma State Police,Firearm
Male,Black,MO,Gunshot,St Louis Metropolitan Police Department,Firearm
Male,Black,CA,Gunshot,Contra Costa Sheriff's Office,Knife
Female,Black,CA,Gunshot,Emeryville Police Department,Firearm
Male,White,GA,Gunshot,Douglas Police Department,Firearm
Male,Hispanic/Latino,AZ,Gunshot,"Tempe, Chandler and Mesa Police Departments [US Marshals Service Task Force]",Firearm
Male,Hispanic/Latino,AZ,Gunshot,"Tempe, Chandler and Mesa Police Departments [US Marshals Service Task Force]",No
Male,Black,TN,Gunshot,Shelby County Sheriff's Department [US Marshals Service Task Force],Knife
Male,Hispanic/Latino,FL,Gunshot,Orlando Police Department,Firearm
Male,Black,TX,Gunshot,"Waco Police Department, McLennan County Sheriff's Office",Firearm
Male,White,CA,Gunshot,"Corona Police Department, California Highway Patrol",Non-lethal firearm
Male,Black,FL,Gunshot,Tallahassee Police Department,No
Male,Hispanic/Latino,TX,Taser,Wichita County Sheriff's Office,No
Male,White,CA,Gunshot,Riverside County Sheriff's Department,Non-lethal firearm
Male,Black,OK,Gunshot,Oklahoma City Police Department,Firearm
Male,White,MI,Gunshot,Kentwood Police Department and Wyoming DPS,Firearm
Male,Black,NC,Gunshot,Gastonia Police Department,Firearm
Male,White,TX,Gunshot,Austin Police Department,Firearm
Female,Black,VA,Taser,Fairfax County Sheriff's Office,No
Male,White,FL,Gunshot,Orange County Sheriff's Office,Firearm
Male,White,TX,Gunshot,Nocona Police Department,Firearm
Male,Black,TX,Gunshot,Dallas Police Department,Firearm
Male,White,NY,Gunshot,Clarkstown Police Department,Firearm
Male,Hispanic/Latino,AK,Gunshot,Anchorage Police Department,Firearm
Male,Hispanic/Latino,WA,Gunshot,Pasco Police Department,Other
Male,White,CO,Gunshot,Garfield County Sheriff's Office,Firearm
Male,Black,TN,Gunshot,Memphis Police Department,Firearm
Male,White,ME,Gunshot,Maine State Troopers and Aroostook County Sheriff's Department,Firearm
Male,Black,CA,Gunshot,San Jose Police Department,Knife
Male,White,AL,Gunshot,Tallapoosa County Sheriff's Department,Firearm
Male,Hispanic/Latino,KS,Gunshot,"Kansas City KS Police Department, Kansas Highway Patrol",Firearm
Male,White,CA,Gunshot,San Bernardino Police Department,Vehicle
Male,White,TN,Gunshot,Carroll County Sheriff's Office,Firearm
Male,White,PA,Gunshot,Pennsylvania State Police,Unknown
Male,White,TX,Gunshot,Laredo Police Department,Firearm
Male,White,UT,Gunshot,Provo Police Department,Non-lethal firearm
Male,Black,FL,Gunshot,Miami Gardens Police Department,Other
Male,White,OR,Gunshot,Clackamas County Sheriff's Office,Knife
Male,White,MS,Gunshot,Iuka Police Department,Firearm
Male,Hispanic/Latino,AZ,Gunshot,Pinal County Sheriff's Office,Knife
Male,White,MI,Gunshot,Bay City Police Department,Firearm
Male,White,ID,Gunshot,Boise Police Department,Firearm
Male,White,AZ,Gunshot,Marana Police Department,Firearm
Male,White,MA,Gunshot,Tewksbury Police Department,Non-lethal firearm
Male,White,MI,Gunshot,Eaton County Sheriff's Office,Firearm
Female,White,NC,Gunshot,Gastonia Police Department,Firearm
Male,Hispanic/Latino,TX,Gunshot,Del Rio Police Department and Val Verde County Sheriff's Office,Other
Male,White,MO,Gunshot,Springfield Police Department,No
Female,Black,NC,Gunshot,Charlotte-Mecklenburg Police Department,Knife
Male,White,CA,Taser,Yuba County Sheriff's Office,No
Male,Hispanic/Latino,TX,Gunshot,Grapevine Police Department,No
Male,Black,AL,Gunshot,Homewood Police Department,Firearm
Male,Hispanic/Latino,TX,Gunshot,"US Marshals Service, Texas Department of Criminal Justice",Firearm
Male,White,NM,Gunshot,New Mexico State Police and US Marshals Service,Firearm
Male,Black,OK,Taser,"Osage Nation Police Department, Osage County Sheriff's Office",No
Male,White,IN,Gunshot,Indianapolis Metropolitan Police Department,Knife
Male,Hispanic/Latino,GA,Gunshot,Habersham County Sheriff's Office,Firearm
Male,White,FL,Gunshot,Palm Bay Police Department,Firearm
Male,Black,AL,Gunshot,Millbrook Police Department,Firearm
Male,White,GA,Gunshot,Cobb County Sheriff's Office,Knife
Male,White,PA,Gunshot,Catasauqua Police Department,Knife
Male,White,LA,Gunshot,Denham Springs Police Department,Firearm
Male,White,WI,Gunshot,Green Bay Police Department,Knife
Male,White,NE,Gunshot,Omaha Police Department,No
Male,White,IN,Gunshot,Terre Haute Police Department,No
Male,Black,OK,Gunshot,Oklahoma City Police Department,Vehicle
Male,White,NV,Gunshot,Las Vegas Metro Police (Swat),Firearm
Male,Hispanic/Latino,CA,Gunshot,San Francisco Police Department,Knife
Female,White,GA,Gunshot,Worth County Sheriff's Office,Firearm
Male,Hispanic/Latino,FL,Gunshot,Lakeland Police Department,Firearm
Male,White,MS,Gunshot,Gulfport Police Department,Firearm
Male,White,SC,Gunshot,Greenville County Sheriff's Office,Firearm
Male,Hispanic/Latino,CA,Gunshot,Santa Ana Police Department,No
Male,White,WA,Death in custody,Franklin County Corrections Division,No
Male,Black,MO,Gunshot,Boone County Sheriff's Department,Firearm
Female,White,AZ,Gunshot,Riverside County Sheriff's Department,Firearm
Male,Black,NC,Gunshot,Tarboro Police Department and Edgecombe Sheriff's Office,Firearm
Male,White,MI,Gunshot,Eaton County Sheriff's Office,No
Female,Hispanic/Latino,AZ,Gunshot,Tucson Police Department,Knife
Male,Black,MO,Gunshot,Wellston Police Department,No
Male,Black,CA,Gunshot,Los Angeles Police Department,No
Male,Black,OK,Taser,Oklahoma City Police Department,No
Male,White,MS,Gunshot,George County Sheriff's Department,Firearm
Male,White,HI,Struck by vehicle,Hawaii Police Department,No
Male,Black,IL,Gunshot,Joliet Police Department,Firearm
Male,Black,MD,Gunshot,Maryland State Police,Firearm
Male,White,AZ,Gunshot,Tempe Police Department,Knife
Male,White,FL,Gunshot,Volusia County Sheriff's Office,No
Male,Asian/Pacific Islander,CA,Gunshot,"Stockton Police Department, San Joaquin County Sheriff's Office",Firearm
Male,White,NE,Gunshot,US Marshals Service,Firearm
Male,Hispanic/Latino,CA,Gunshot,Los Angeles Police Department,No
Male,Black,WI,Gunshot,Milwaukee Police Department,Knife
Male,Black,WI,Gunshot,Madison Police Department,No
Male,White,TX,Taser,Sulphur Springs Police Department,No
Male,Black,CO,Gunshot,Aurora Police Department,No
Male,Black,FL,Gunshot,Putnam County Sheriff's Office,Vehicle
Male,Black,GA,Struck by vehicle,Atlanta Police Department,No
Male,White,AZ,Gunshot,Phoenix Police Department,Firearm
Male,White,DE,Gunshot,Delaware State Police,No
Male,Hispanic/Latino,OK,Gunshot,Oklahoma City Police Department,Firearm
Female,Black,CA,Gunshot,Anaheim Police Department,Knife
Male,Black,FL,Gunshot,Brevard County Sheriff's Office,Firearm
Male,White,CO,Gunshot,Moffat County Sheriff's Office and Colorado Parks and Wildlife Law Enforcement,Firearm
Male,White,NC,Gunshot,"North Carolina Alcohol Law Enforcement, Transylvania County Sheriff's Office, Homeland Security",Firearm
Female,Asian/Pacific Islander,NJ,Struck by vehicle,Bergen County Prosecutor's Department,No
Male,White,GA,Gunshot,Port Wentworth Police Department,Knife
Male,Black,OH,Taser,Mansfield Police Department,No
Male,Black,LA,Gunshot,US Marshals Service,Firearm
Male,Hispanic/Latino,CA,Gunshot,Ontario Police Department,Other
Male,White,AL,Gunshot,Hoover Police Department,Firearm
Male,Black,OH,Gunshot,Cleveland Division of Police,Firearm
Male,Hispanic/Latino,CA,Gunshot,South Gate Police Department,Vehicle
Male,White,AZ,Gunshot,Kingman Police Department,Non-lethal firearm
Male,White,TN,Gunshot,Memphis Police Department,Firearm
Male,Black,MD,Gunshot,Cecil County Sheriff's Office,Vehicle
Male,Hispanic/Latino,CA,Gunshot,Santa Ana Police Department,Firearm
Male,White,AL,Gunshot,Baldwin County Sheriff's Office,Firearm
Male,Hispanic/Latino,CA,Gunshot,Los Angeles County Sheriff's Department,No
Male,Black,DC,Gunshot,Washington DC Metro Transit Police,Other
Male,Black,TX,Death in custody,Arlington Police Department,No
Male,Hispanic/Latino,CA,Gunshot,Los Angeles Police Department,No
Male,White,CA,Gunshot,Fontana Police Department,Knife
Male,Hispanic/Latino,CA,Gunshot,Napa Police Department,Firearm
Male,White,WV,Gunshot,"Brooke County Sheriff's Department, West Virginia State Police",Knife
Male,White,MO,Gunshot,US Marshals Service,Unknown
Male,White,WI,Gunshot,Kenosha Police Department,No
Male,Hispanic/Latino,TX,Gunshot,San Antonio Police Department,Firearm
Male,White,MS,Gunshot,Pike County Sheriff's Office,Other
Male,White,CT,Taser,Branford Police Department,No
Male,White,MN,Gunshot,St Paul Police Department,Firearm
Male,Asian/Pacific Islander,HI,Taser,Honolulu Police Department,No
Male,White,NC,Gunshot,Gaston County Police Department,Firearm
Male,White,TX,Gunshot,Onalaska Police Department,Firearm
Male,Hispanic/Latino,CA,Gunshot,California Highway Patrol,No
Male,White,NC,Gunshot,Bladen County Sheriff's Office and Bladenboro Police Department,Firearm
Female,White,CA,Gunshot,San Francisco Police Department,Vehicle
Male,Black,GA,Taser,Floyd County Sheriff's Office,No
Male,White,CA,Gunshot,Bakersfield Police Department,Knife
Male,White,OR,Gunshot,Medford Police Department,Firearm
Male,White,ID,Gunshot,Canyon County Sheriff's Office,Firearm
Female,White,AZ,Gunshot,Glendale Police Department,Firearm
Male,White,FL,Gunshot,Tallahassee Police Department,Firearm
Male,Black,FL,Gunshot,Jacksonville Sheriff's Office,Firearm
Male,Black,OH,Gunshot,Cleveland Division of Police,No
Male,White,WA,Gunshot,US Border Patrol,Other
Male,Native American,AZ,Gunshot,Navajo Police Department,Firearm
Male,White,OH,Gunshot,Kent Police Department,No
Male,White,CA,Gunshot,Bakersfield Police Department,Firearm
Male,White,AL,Gunshot,Lawrence County Sheriff's Office,Knife
Male,White,OK,Gunshot,"Oklahoma Highway Patrol, Tupelo Police Department",Firearm
Male,White,OH,Gunshot,Columbus Division of Police,Firearm
Male,Black,LA,Gunshot,Jefferson Parish Sheriff's Office,Knife
Male,White,AZ,Gunshot,Cottonwood Police Department,Firearm
Male,White,CA,Gunshot,Vallejo Police Department,Knife
Male,White,NY,Gunshot,Orleans County Sheriff's Office,Firearm
Male,White,IN,Gunshot,Clay County Sheriff's Department,Firearm
Male,Black,NY,Gunshot,Suffolk County Police Department,No
Male,Black,CA,Gunshot,Santa Clara Police Department,Firearm
Male,White,OR,Gunshot,Portland Police Bureau,Knife
Male,White,KY,Death in custody,"Whitley County Sheriff's Department, Kentucky State Police",No
Male,White,WA,Death in custody,Clark County Sheriff's Department,No
Male,Black,GA,Gunshot,Smyrna Police Department,Vehicle
Male,Black,VA,Gunshot,Portsmouth Police Department,Firearm
Male,White,WI,Gunshot,Wisconsin State Police,Firearm
Male,White,CA,Gunshot,San Jose Police Department,Firearm
Male,White,AZ,Gunshot,Glendale Police Department,Firearm
Male,Black,SC,Gunshot,"Johnsonville Police Department, Florence County Sheriff's Department (Swat)",Firearm
Male,Hispanic/Latino,CA,Gunshot,Los Angeles County Sheriff's Department,Firearm
Male,Hispanic/Latino,CA,Gunshot,Los Angeles Police Department,Knife
Female,White,KS,Gunshot,Gardner Police Department,Firearm
Male,Hispanic/Latino,CA,Gunshot,Bakersfield Police Department,Non-lethal firearm
Female,Black,CA,Gunshot,Oxnard Police Department,Knife
Male,Black,FL,Gunshot,Saint Lucie County Sheriff's Office,Knife
Male,White,MA,Gunshot,Webster Police Department,Firearm
Male,Black,MA,Gunshot,Boston Police Department,Firearm
Male,White,WV,Gunshot,West Virginia State Police,Firearm
Male,White,CA,Gunshot,San Diego County Sheriff's Department,Firearm
Male,Black,AL,Gunshot,Birmingham Police Department,Firearm
Male,White,OH,Gunshot,Pike County Sheriff's Department,Vehicle
Male,Black,KY,Gunshot,Elizabethtown Police Department,Firearm
Female,Black,MD,Gunshot,NSA Police Department,Vehicle
Male,Black,CA,Gunshot,Ceres Police Department,Non-lethal firearm
Male,Black,VA,Taser,Culpeper Police Department,No
Male,White,IN,Taser,Lake County Sheriff's Department,No
Male,White,NV,Gunshot,Boulder City Police Department,Firearm
Male,Hispanic/Latino,TX,Gunshot,Baytown Police Department,Non-lethal firearm
Male,Black,NJ,Death in custody,Vineland Police Department,No
Male,White,OR,Gunshot,Eugene Police Department,Firearm
Male,White,NJ,Gunshot,Hamilton Police Department,Knife
Male,Black,CA,Gunshot,Hawthorne Police Department,Firearm
Male,White,LA,Gunshot,Rapides Parish Sheriff's Office,Firearm
Male,Black,IL,Gunshot,Rock Island Police Department,Firearm
Male,Black,NY,Taser,City of Albany Police Department,No
Male,Black,OK,Gunshot,Tulsa County Sheriff's Office,No
Male,White,IL,Gunshot,Metropolis Police Department,Firearm
Male,White,OK,Taser,Warner Police Department,No
Male,White,VA,Gunshot,Frederick County Sheriff's Office,Other
Male,White,AZ,Gunshot,Phoenix Police Department,Knife
Male,Black,IL,Gunshot,Zion Police Department,Firearm
Male,Native American,WA,Taser,US Forest Service,No
Male,Black,CA,Gunshot,Anaheim Police Department,Firearm
Male,White,NM,Gunshot,New Mexico State Police,Firearm
Male,Black,SC,Gunshot,North Charleston Police Department,No
Male,White,IN,Gunshot,Indianapolis Metropolitan Police Department,Firearm
Male,Black,LA,Gunshot,Jefferson Parish Sheriff's Office,Firearm
Male,White,FL,Gunshot,Ocala Police Department,No
Male,White,CA,Gunshot,Tehachapi Police Department,No
Male,White,OK,Gunshot,Pottawatomie County Sheriff's Office,Firearm
Male,White,CA,Gunshot,Sunnyvale Police Department,Knife
Male,Hispanic/Latino,CA,Gunshot,Los Angeles Police Department,Firearm
Male,Black,GA,Gunshot,Lowndes County Sheriff's Office,Vehicle
Male,White,OK,Gunshot,Creek County Sheriff's Department and Bristow Police Department,Vehicle
Male,White,CA,Taser,Kern County Sheriff's Office,No
Male,White,TX,Gunshot,San Antonio Police Department,Firearm
Male,White,FL,Gunshot,Santa Rosa County Sheriff's Office,Other
Male,White,SC,Gunshot,Spartanburg County Sheriff's Office,Firearm
Male,White,PA,Gunshot,Pennsylvania State Police,Firearm
Male,Hispanic/Latino,CA,Gunshot,Tehama County Sheriff's Department,Knife
Male,White,KS,Gunshot,"Topeka Police Department, Kansas Highway Patrol",Firearm
Male,White,NC,Gunshot,Sampson County Sheriff's Office,Firearm
Male,Black,IN,Gunshot,Indianapolis Metropolitan Police Department,Firearm
Male,White,OK,Gunshot,Oklahoma City Police Department,Other
Male,Hispanic/Latino,TX,Gunshot,Houston Police Department,Other
Male,Hispanic/Latino,IL,Gunshot,Alton Police Department,Firearm
Male,White,AR,Gunshot,Jonesboro Police Department,Other
Male,Black,NY,Death in custody,New York Department of Corrections and Community Supervision,Other
Male,Black,FL,Gunshot,Miami-Dade Police Department,Firearm
Male,White,CA,Death in custody,Highland Police Department,No
Male,Black,TX,Gunshot,Harris County Sheriff's Office,No
Male,Black,SC,Gunshot,Spartanburg Police Department,Knife
Male,Hispanic/Latino,CA,Gunshot,San Bernardino County Sheriff's Office,Non-lethal firearm
Male,White,CO,Gunshot,Caձon City Police Department,Firearm
Male,Black,MD,Taser,Hagerstown Police Department,No
Male,White,MI,Taser,Gibraltar Police Department,No
Male,Hispanic/Latino,CA,Gunshot,Shafter Police Department,Knife
Male,Black,IL,Gunshot,Chicago Police Department,Firearm
Male,Black,MO,Gunshot,St Louis County Police Department,Knife
Male,Hispanic/Latino,CA,Gunshot,Riverside County Sheriff's Department and California Highway Patrol,Firearm
Male,White,AZ,Gunshot,Phoenix Police Department,Firearm
Male,White,FL,Gunshot,Panama City Police Department,Firearm
Male,Black,TX,Taser,San Antonio Police Department,No
Male,White,KY,Gunshot,Wilmore Police Department,Firearm
Male,White,NE,Gunshot,Sidney Police Department,Knife
Male,Hispanic/Latino,TX,Gunshot,Hidalgo County Sheriff's Office,Firearm
Male,Hispanic/Latino,CA,Gunshot,Los Angeles Police Department,Knife
Male,Black,NJ,Gunshot,New Jersey State Police,Vehicle
Male,Native American,WA,Gunshot,Lakewood Police Department,No
Male,White,MS,Taser,Lauderdale County Sheriff's Office,No
Male,White,SC,Gunshot,Lexington County Sheriff's Office,Knife
Male,Black,VA,Gunshot,Portsmouth Police Department,No
Male,Hispanic/Latino,CA,Gunshot,California Department of Corrections and Rehabilitation,No
Male,White,NY,Gunshot,New York Police Department,Firearm
Male,Asian/Pacific Islander,CO,Gunshot,Boulder County Sheriff's Office,Firearm
Male,Hispanic/Latino,AZ,Gunshot,Bisbee Police Department,Knife
Male,Hispanic/Latino,CA,Gunshot,Long Beach Police Department,No
Male,White,CA,Gunshot,Los Angeles Police Department,Firearm
Female,White,CA,Gunshot,Sonoma County Sheriff's Office,Vehicle
Male,White,OK,Gunshot,Choctaw County Sheriff's Office and Hugo Police Department,Firearm
Male,Black,CO,Gunshot,Trinidad Police Department,Firearm
Male,White,OR,Gunshot,Salem Police Department,Firearm
Male,Black,NY,Gunshot,New York Police Department,No
Male,White,TX,Gunshot,Victoria Police Department,Other
Male,White,FL,Gunshot,Lake County Sheriff's Office,Knife
Male,White,OK,Gunshot,Oklahoma Highway Patrol,Firearm
Male,White,OK,Gunshot,Oklahoma Department of Wildlife Conservation,No
Male,White,CA,Gunshot,Fountain Valley Police Department,No
Male,White,CA,Gunshot,Kings County Sheriff's Office,Firearm
Male,Black,MI,Gunshot,Immigration and Customs Enforcement,Other
Male,Black,LA,Gunshot,New Orleans Police Department,Firearm
Male,White,IL,Gunshot,"Marion Police Department, Illinois State Police and Williamson County Sheriff's Department",Firearm
Male,White,OH,Gunshot,Mansfield Police Department,Firearm
Male,White,OK,Gunshot,Chickasha Police Department,Knife
Male,Hispanic/Latino,CA,Gunshot,California Department of Fish and Wildlife,Firearm
Male,Native American,AZ,Gunshot,Mesa Police Department,Firearm
Male,Hispanic/Latino,TX,Gunshot,El Paso Police Department,Other
Female,Black,GA,Gunshot,Atlanta Police Department,Firearm
Male,White,CA,Gunshot,San Diego Police Department,No
Male,White,TN,Gunshot,Nashville Metropolitan Police Department,Firearm
Male,Black,VA,Gunshot,Greensville County Sheriff's Office and Virginia State Police,Firearm
Male,White,DE,Gunshot,Smyrna Police Department,Firearm
Male,Black,TX,Gunshot,Garland Police Department,Firearm
Male,Asian/Pacific Islander,TX,Gunshot,Garland Police Department,Firearm
Male,White,UT,Gunshot,Roosevelt Police Department,Firearm
Male,White,NM,Gunshot,Bernalillo County Sheriff's Department,Firearm
Male,White,WA,Gunshot,"Benton County Sheriff's Office, Richland Police Department",Non-lethal firearm
Male,White,KY,Gunshot,Kentucky State Police,Firearm
Male,Asian/Pacific Islander,CA,Gunshot,Los Angeles County Sheriff's Department,Knife
Male,White,VA,Gunshot,Pulaski Police Department,Firearm
Male,Black,CA,Gunshot,Los Angeles Police Department,No
Female,Black,NJ,Struck by vehicle,New Jersey State Police,No
Male,Black,NJ,Struck by vehicle,New Jersey State Police,No
Male,White,NC,Gunshot,Wake Forest Police Department,Firearm
Male,Black,CA,Gunshot,Los Angeles County Sheriff's Department,Vehicle
Male,White,FL,Taser,Sarasota Police Department,No
Male,White,NY,Gunshot,Beacon Police Department,Knife
Male,White,GA,Gunshot,Gwinnett County Sheriff's Department,Knife
Male,Black,MN,Gunshot,Lino Lakes Police Department,No
Male,White,AZ,Gunshot,Pinal County Sheriff's Office,Other
Male,Black,LA,Gunshot,Jefferson Parish Sheriff's Office,Firearm
Male,White,NY,Gunshot,Oswego County Sheriff's Department,Firearm
Male,Black,MD,Gunshot,Prince George's County Sheriff's Office,Knife
Male,White,NC,Taser,Enfield Police Department,No
Male,White,FL,Gunshot,St Johns County Sheriff's Office,Knife
Male,Black,TX,Gunshot,Fort Worth Police Department,Vehicle
Male,White,WA,Gunshot,Tacoma Police Department,Firearm
Male,Black,FL,Gunshot,Jacksonville Sheriff's Office,Firearm
Male,White,CA,Gunshot,Orange County Sheriff's Department,Knife
Male,Asian/Pacific Islander,HI,Gunshot,US Marshals Service,Firearm
Male,Black,WA,Death in custody,Spokane Police Department,No
Male,White,MI,Gunshot,"Michigan State Police, Kalamazoo County Sheriff's Office and Portage Police Department",Firearm
Male,Hispanic/Latino,NY,Death in custody,New York Police Department,No
Male,White,IL,Gunshot,Rockford Police Department,Firearm
Male,White,CA,Gunshot,Sacramento Police Department,Non-lethal firearm
Male,White,FL,Gunshot,St Petersburg Police Department,Firearm
Male,White,CA,Gunshot,San Diego Police Department,Firearm
Male,White,NM,Gunshot,Ruidoso Police Department,Other
Male,Black,IL,Gunshot,Harvey Police Department,Firearm
Male,Black,FL,Taser,Coconut Creek Police Department,No
Male,White,FL,Gunshot,Tampa Bay Police Department [US Marshals Service Task Force],Firearm
Male,Black,GA,Gunshot,DeKalb County Police Department,No
Male,Black,IN,Gunshot,"Indiana State Police, Tippecanoe County Sheriff's Department",Firearm
Male,White,MO,Gunshot,Columbia Police Department and University of Missouri Police,Firearm
Male,White,ID,Gunshot,Jefferson County Sheriff Department,Firearm
Male,Black,TX,Gunshot,Fort Worth Police Department,Firearm
Male,Black,MD,Death in custody,Baltimore Police Department,No
Male,Black,OH,Gunshot,Columbus Police Department,Knife
Male,Hispanic/Latino,TX,Gunshot,Lynn County Sheriff's Office,No
Male,White,FL,Gunshot,St Johns County Sheriff's Office,Firearm
Male,Hispanic/Latino,VA,Gunshot,Arlington Police Department,Knife
Male,Black,PA,Gunshot,Lancaster Police Department,Firearm
Male,White,CO,Gunshot,Grand Junction Police Department,Firearm
Male,White,AR,Gunshot,"Lonoke County Sheriff's Office, Arkansas Department of Community Correction",Firearm
Male,White,OH,Gunshot,Summit County Sheriff's Office,Knife
Male,Black,NE,Gunshot,Omaha Police Department,Firearm
Male,White,SC,Gunshot,North Charleston Police Department,Knife
Female,White,WY,Gunshot,Campbell County Sheriff's Office,Knife
Male,Black,KY,Gunshot,Owensboro Police Department and Kentucky State Police,Firearm
Male,Black,SC,Gunshot,South Carolina State Law Enforcement Division,Firearm
Male,Hispanic/Latino,NJ,Gunshot,Hackensack Police Department,Knife
