Sex,Race,State,Ethnicity,Age Group,First Year,Last Year,Cause of Death,Deaths,Population,Crude Rate,Age-Adjusted Rate
Both Sexes,All Races,New Hampshire,Both,All Ages,2015,2016,Suicide Injury,472,2664906,17.71,16.97322837
Both Sexes,All Races,New Jersey,Both,All Ages,2015,2016,Suicide Injury,1476,17879890,8.26,7.731118256
Both Sexes,All Races,New Mexico,Both,All Ages,2015,2016,Suicide Injury,971,4161343,23.33,23.04466096
Both Sexes,All Races,New York,Both,All Ages,2015,2016,Suicide Injury,3331,39492472,8.43,7.9549637
Both Sexes,All Races,North Carolina,Both,All Ages,2015,2016,Suicide Injury,2779,20181974,13.77,13.17646508
Both Sexes,All Races,North Dakota,Both,All Ages,2015,2016,Suicide Injury,264,1514787,17.43,18.16327982
Both Sexes,All Races,Ohio,Both,All Ages,2015,2016,Suicide Injury,3357,23219463,14.46,14.01107128
Both Sexes,All Races,Oklahoma,Both,All Ages,2015,2016,Suicide Injury,1612,7830975,20.58,20.67321354
Both Sexes,All Races,Oregon,Both,All Ages,2015,2016,Suicide Injury,1534,8118099,18.9,17.79335079
Both Sexes,All Races,Pennsylvania,Both,All Ages,2015,2016,Suicide Injury,3864,25576131,15.11,14.29679697
Both Sexes,All Races,Rhode Island,Both,All Ages,2015,2016,Suicide Injury,253,2112033,11.98,11.17196173
Both Sexes,All Races,South Carolina,Both,All Ages,2015,2016,Suicide Injury,1557,9855953,15.8,15.24435207
Both Sexes,All Races,South Dakota,Both,All Ages,2015,2016,Suicide Injury,336,1723373,19.5,20.5513781
Both Sexes,All Races,Tennessee,Both,All Ages,2015,2016,Suicide Injury,2179,13246250,16.45,15.95666267
Both Sexes,All Races,Texas,Both,All Ages,2015,2016,Suicide Injury,6891,55292235,12.46,12.52240446
Both Sexes,All Races,Utah,Both,All Ages,2015,2016,Suicide Injury,1250,6041849,20.69,22.12592696
Both Sexes,All Races,Vermont,Both,All Ages,2015,2016,Suicide Injury,221,1250682,17.67,16.02863147
Both Sexes,All Races,Virginia,Both,All Ages,2015,2016,Suicide Injury,2284,16779395,13.61,12.92443184
Both Sexes,All Races,Washington,Both,All Ages,2015,2016,Suicide Injury,2278,14448290,15.77,15.11360471
Both Sexes,All Races,West Virginia,Both,All Ages,2015,2016,Suicide Injury,702,3672155,19.12,18.50777335
Both Sexes,All Races,Wisconsin,Both,All Ages,2015,2016,Suicide Injury,1743,11546599,15.1,14.62496529
Both Sexes,All Races,Wyoming,Both,All Ages,2015,2016,Suicide Injury,301,1172056,25.68,26.70756964
Both Sexes,All Races,,Both,All Ages,2015,2016,Suicide Injury,89158,644024131,13.84,.
