Sex,Race,State,Ethnicity,Age Group,First Year,Last Year,Cause of Death,Deaths,Population,Crude Rate,Age-Adjusted Rate
Both Sexes,All Races,Nebraska,Both,All Ages,2015,2016,Suicide Firearm,230,3800881,6.05,5.9998253
Both Sexes,All Races,Nevada,Both,All Ages,2015,2016,Suicide Firearm,627,5823816,10.77,10.21614456
Both Sexes,All Races,New Hampshire,Both,All Ages,2015,2016,Suicide Firearm,230,2664906,8.63,8.239841949
Both Sexes,All Races,New Jersey,Both,All Ages,2015,2016,Suicide Firearm,365,17879890,2.04,1.879419308
Both Sexes,All Races,New Mexico,Both,All Ages,2015,2016,Suicide Firearm,518,4161343,12.45,11.77152307
Both Sexes,All Races,New York,Both,All Ages,2015,2016,Suicide Firearm,911,39492472,2.31,2.129787079
Both Sexes,All Races,North Carolina,Both,All Ages,2015,2016,Suicide Firearm,1575,20181974,7.8,7.321238528
Both Sexes,All Races,North Dakota,Both,All Ages,2015,2016,Suicide Firearm,151,1514787,9.97,10.06003205
Both Sexes,All Races,Ohio,Both,All Ages,2015,2016,Suicide Firearm,1787,23219463,7.7,7.271127873
Both Sexes,All Races,Oklahoma,Both,All Ages,2015,2016,Suicide Firearm,985,7830975,12.58,12.28755046
Both Sexes,All Races,Oregon,Both,All Ages,2015,2016,Suicide Firearm,787,8118099,9.69,8.932171844
Both Sexes,All Races,Pennsylvania,Both,All Ages,2015,2016,Suicide Firearm,1908,25576131,7.46,6.87580573
Both Sexes,All Races,Rhode Island,Both,All Ages,2015,2016,Suicide Firearm,75,2112033,3.55,3.211428555
Both Sexes,All Races,South Carolina,Both,All Ages,2015,2016,Suicide Firearm,994,9855953,10.09,9.559339612
Both Sexes,All Races,South Dakota,Both,All Ages,2015,2016,Suicide Firearm,157,1723373,9.11,9.302473707
Both Sexes,All Races,Tennessee,Both,All Ages,2015,2016,Suicide Firearm,1313,13246250,9.91,9.399149668
Both Sexes,All Races,Texas,Both,All Ages,2015,2016,Suicide Firearm,4010,55292235,7.25,7.300399379
Both Sexes,All Races,Utah,Both,All Ages,2015,2016,Suicide Firearm,622,6041849,10.29,11.00936463
Both Sexes,All Races,Vermont,Both,All Ages,2015,2016,Suicide Firearm,128,1250682,10.23,8.739937618
Both Sexes,All Races,Virginia,Both,All Ages,2015,2016,Suicide Firearm,1301,16779395,7.75,7.2537425
Both Sexes,All Races,Washington,Both,All Ages,2015,2016,Suicide Firearm,1052,14448290,7.28,6.920019275
Both Sexes,All Races,West Virginia,Both,All Ages,2015,2016,Suicide Firearm,453,3672155,12.34,11.25094684
Both Sexes,All Races,Wisconsin,Both,All Ages,2015,2016,Suicide Firearm,879,11546599,7.61,7.20094166
Both Sexes,All Races,Wyoming,Both,All Ages,2015,2016,Suicide Firearm,182,1172056,15.53,15.74625936
Both Sexes,All Races,,Both,All Ages,2015,2016,Suicide Firearm,44956,644024131,6.98,.
